size,fit_class,allowance,max_major_dia,min_major_dia,min,max_pitch,min_pitch,minor_dia
3 1/2-12 UN,3A,0,3.5,3.4886,-,3.4459,3.4411,3.4008
3 1/2-14 UNS,2A,0.0018,3.4982,3.4879,-,3.4518,3.4132,3.4132
3 1/2-16 UN,2A,0.0017,3.4983,3.4889,-,3.4577,3.4519,3.4238
3 1/2-16 UN,3A,0,3.5,3.4906,-,3.4594,3.4551,3.4255
3 1/2-18 UNS,2A,0.0017,3.4983,3.4896,-,3.4622,3.4322,3.4322
3 5/8-6 UN,2A,0.0029,3.6221,3.6039,-,3.5138,3.5041,3.4237
3 5/8-6 UN,3A,0,3.625,3.6068,-,3.5167,3.5094,3.4266
3 5/8-8 UN,2A,0.0027,3.6223,3.6073,-,3.5411,3.5322,3.4735
3 5/8-8 UN,3A,0,3.625,3.61,-,3.5438,3.5371,3.4762
3 5/8-12 UN,2A,0.0019,3.6231,3.6117,-,3.569,3.5626,3.5239
3 5/8-12 UN,3A,0,3.625,3.6136,-,3.5709,3.5661,3.5258
3 5/8-16 UN,2A,0.0017,3.6233,3.6139,-,3.5827,3.5769,3.5488
3 5/8-16 UN,3A,0,3.625,3.6156,-,3.5844,3.5801,3.5505
3 3/4-4 UNC,1A,0.0034,3.7466,3.7109,-,3.5842,3.5674,3.4489
3 3/4-4 UNC,2A,0.0034,3.7466,3.7228,3.7109,3.5842,3.573,3.4489
3 3/4-4 UNC,3A,0,3.75,3.7262,-,3.5876,3.5792,3.4523
3 3/4-6 UN,2A,0.0029,3.7471,3.7289,-,3.6388,3.629,3.5487
3 3/4-6 UN,3A,0,3.75,3.7318,-,3.6417,3.6344,3.5516
3 3/4-8 UN,2A,0.0027,3.7473,3.7323,3.7248,3.6661,3.6571,3.5985
3 3/4-8 UN,3A,0,3.75,3.735,-,3.6688,3.6621,3.6012
3 3/4-10 UNS,2A,0.0021,3.7479,3.735,-,3.6829,3.6289,3.6289
3 3/4-12 UN,2A,0.0019,3.7481,3.7367,-,3.694,3.6876,3.6489
3 3/4-12 UN,3A,0,3.75,3.7386,-,3.6959,3.6911,3.6508
3 3/4-14 UNS,2A,0.0018,3.7482,3.7379,-,3.7018,3.6632,3.6632
3 3/4-16 UN,2A,0.0017,3.7483,3.7389,-,3.7077,3.7019,3.6738
3 3/4-16 UN,3A,0,3.75,3.7406,-,3.7094,3.7051,3.6755
3 3/4-18 UNS,2A,0.0017,3.7483,3.7396,-,3.7122,3.6822,3.6822
3 7/8-6 UN,2A,0.003,3.872,3.8538,-,3.7637,3.7538,3.6736
3 7/8-6 UN,3A,0,3.875,3.8568,-,3.7667,3.7593,3.6766
3 7/8-8 UN,2A,0.0027,3.8723,3.8573,-,3.7911,3.782,3.7235
3 7/8-8 UN,3A,0,3.875,3.86,-,3.7938,3.787,3.7262
3 7/8-12 UN,2A,0.002,3.873,3.8616,-,3.8189,3.8124,3.7738
3 7/8-12 UN,3A,0,3.875,3.8636,-,3.8209,3.816,3.7758
3 7/8-16 UN,2A,0.0018,3.8732,3.8638,-,3.8326,3.8267,3.7987
3 7 /8-16 UN,3A,0,3.875,3.8656,-,3.8344,3.83,3.8005
4-4 UNC,1A,0.0034,3.9966,3.9609,-,3.8342,3.8172,3.6989
4-4 UNC,2A,0.0034,3.9966,3.9728,-,3.8342,3.8229,3.6989
4-4 UNC,3A,0,4,3.9762,-,3.8376,3.8291,3.7023
4-6 UN,2A,0.003,3.997,3.9788,-,3.8887,3.8788,3.7986
4-6 UN,3A,0,4,3.9818,-,3.8917,3.8843,3.8016
4-8 UN,2A,0.0027,3.9973,3.9823,3.9748,3.9161,3.907,3.8485
4-8 UN,3A,0,4,3.985,-,3.9188,3.912,3.8512
4-10 UNS,2A,0.0021,3.9979,3.985,-,3.9329,3.9259,3.8768
4-12 UN,2A,0.002,3.998,3.9866,-,3.9439,3.9374,3.8988
4-12 UN,3A,0,4,3.9886,-,3.9459,3.941,3.9008
4-14 UNS,2A,0.0018,3.9982,3.9879,-,3.9518,3.9456,3.9132
4-16 UN,2A,0.0018,3.9982,3.9888,-,3.9576,3.9517,3.9237
4-16 UN,3A,0,4,3.9906,-,3.9594,3.955,3.9255
