size,fit_class,allowance,max_major_dia,min_major_dia,min,max_pitch,min_pitch,minor_dia
5/8-11 UNC,2A,0.0016,0.6234,0.6113,0.6052,0.5644,0.5589,0.5152
5/8-11 UNC,3A,0,0.625,0.6129,-,0.566,0.5619,0.5168
5/8-12 UN,2A,0.0016,0.6234,0.612,-,0.5693,0.5639,0.5242
5/8-12 UN,3A,0,0.625,0.6136,-,0.5709,0.5668,0.5258
5/8-14 UNS,2A,0.0015,0.6235,0.6132,-,0.5771,0.572,0.5385
5/8-16 UN,2A,0.0014,0.6236,0.6142,-,0.583,0.5782,0.5491
5/8-16 UN,3A,0,0.625,0.6156,-,0.5844,0.5808,0.5505
5/8-18 UNF,1A,0.0014,0.6236,0.6105,-,0.5875,0.5805,0.5575
5/8-18 UNF,2A,0.0014,0.6236,0.6149,-,0.5875,0.5828,0.5575
5/8-18 UNF,3A,0,0.625,0.6163,-,0.5889,0.5854,0.5589
5/8-20 UN,2A,0.0013,0.6237,0.6156,-,0.5912,0.5869,0.5642
5/8-20 UN,3A,0,0.625,0.6169,-,0.5925,0.5893,0.5655
5/8-24 UNEF,2A,0.0012,0.6238,0.6166,-,0.5967,0.5927,0.5742
5/8-24 UNEF,3A,0,0.625,0.6178,-,0.5979,0.5949,0.5754
5/8-27 UNS,2A,0.0011,0.6239,0.6172,-,0.5998,0.596,0.5798
5/8-28 UN,2A,0.0011,0.6239,0.6174,-,0.6007,0.5969,0.5813
5/8-28 UN,3A,0,0.625,0.6185,-,0.6018,0.599,0.5824
5/8-32 UN,2A,0.0011,0.6239,0.6179,-,0.6036,0.6,0.5867
5/8-32 UN,3A,0,0.625,0.619,-,0.6047,0.602,0.5878
11/16-12 UN,2A,0.0016,0.6859,0.6745,-,0.6318,0.6264,0.5867
11/16-12 UN,3A,0,0.6875,0.6761,-,0.6334,0.6293,0.5883
11/16-16 UN,2A,0.0014,0.6861,0.6767,-,0.6455,0.6407,0.6116
11/16-16 UN,3A,0,0.6875,0.6781,-,0.6469,0.6433,0.613
11/16-20 UN,2A,0.0013,0.6862,0.6781,-,0.6537,0.6494,0.6267
11/16-20 UN,3A,0,0.6875,0.6794,-,0.655,0.6518,0.628
11/16-24 UNEF,2A,0.0012,0.6863,0.6791,-,0.6592,0.6552,0.6367
11/16-24 UNEF,3A,0,0.6875,0.6803,-,0.6604,0.6574,0.6379
11/16-28 UN,2A,0.0011,0.6864,0.6799,-,0.6632,0.6594,0.6438
11/16-28 UN,3A,0,0.6875,0.681,-,0.6643,0.6615,0.6449
11/16-32 UN,2A,0.0011,0.6864,0.6804,-,0.6661,0.6625,0.6492
11/16-32 UN,3A,0,0.6875,0.6815,-,0.6672,0.6645,0.6503
3/4-10 UNC,1A,0.0018,0.7482,0.7288,-,0.6832,0.6744,0.6291
3/4-10 UNC,2A,0.0018,0.7482,0.7353,0.7288,0.6832,0.6773,0.6291
3/4-10 UNC,3A,0,0.75,0.7371,-,0.685,0.6806,0.6309
3/4-12 UN,2A,0.0017,0.7483,0.7369,-,0.6942,0.6887,0.6491
3/4-12 UN,3A,0,0.75,0.7386,-,0.6959,0.6918,0.6508
3/4-14 UNS,2A,0.0015,0.7485,0.7382,-,0.7021,0.697,0.6635
3/4-16 UNF,1A,0.0015,0.7485,0.7343,-,0.7079,0.7004,0.674
3/4-16 UNF,2A,0.0015,0.7485,0.7391,-,0.7079,0.7029,0.674
3/4-16 UNF,3A,0,0.75,0.7406,-,0.7094,0.7056,0.6755
3/4-18 UNS,2A,0.0014,0.7486,0.7399,-,0.7125,0.7079,0.6825
3/4-20 UNEF,2A,0.0013,0.7487,0.7406,-,0.7162,0.7118,0.6892
3/4-20 UNEF,3A,0,0.75,0.7419,-,0.7175,0.7142,0.6905
3/4-24 UNS,2A,0.0012,0.7488,0.7416,-,0.7217,0.7176,0.6992
3/4-27 UNS,2A,0.0012,0.7488,0.7421,-,0.7247,0.7208,0.7047
3/4-28 UN,2A,0.0012,0.7488,0.7423,-,0.7256,0.7218,0.7062
3/4-28 UN,3A,0,0.75,0.7435,-,0.7268,0.7239,0.7074
3/4-32 UN,2A,0.0011,0.7489,0.7429,-,0.7286,0.725,0.7114
3/4-32 UN,3A,0,0.75,0.744,-,0.7297,0.727,0.7128
13/16-12 UN,2A,0.0017,0.8108,0.7994,-,0.7567,0.7512,0.7116
13/16-12 UN,3A,0,0.8125,0.8011,-,0.7584,0.7543,0.7133
13/16-16 UN,2A,0.0015,0.811,0.8016,-,0.7704,0.7655,0.7365
13/16-16 UN,3A,0,0.8125,0.8031,-,0.7719,0.7683,0.738
13/16-20 UNEF,2A,0.0013,0.8112,0.8031,-,0.7787,0.7743,0.7517
13/16-20 UNEF,3A,0,0.8125,0.8044,-,0.78,0.7767,0.753
13/16-28 UN,2A,0.0012,0.8113,0.8048,-,0.7881,0.7843,0.7687
13/16-28 UN,3A,0,0.8125,0.806,-,0.7893,0.7864,0.7699
13/16-32 UN,2A,0.0011,0.8114,0.8054,-,0.7911,0.7875,0.7742
13/16-32 UN,3A,0,0.8125,0.8065,-,0.7922,0.7895,0.7753
7/8-9 UNC,1A,0.0019,0.8731,0.8523,-,0.8009,0.7914,0.7408
7/8-9 UNC,2A,0.0019,0.8731,0.8592,0.8523,0.8009,0.7946,0.7408
7/8-9 UNC,3A,0,0.875,0.8611,-,0.8028,0.7981,0.7427
7/8-10 UNS,2A,0.0018,0.8732,0.8603,-,0.8082,0.8022,0.7542
7/8-12 UN,2A,0.0017,0.8733,0.8619,-,0.8192,0.8137,0.7741
7/8-12 UN,3A,0,0.875,0.8636,-,0.8209,0.8168,0.7758
7/8-14 UNF,1A,0.0016,0.8734,0.8579,-,0.827,0.8189,0.7884
7/8-14 UNF,2A,0.0016,0.8734,0.8631,-,0.827,0.8216,0.7884
7/8-14 UNF,3A,0,0.875,0.8647,-,0.8286,0.8245,0.79
7/8-16 UN,2A,0.0015,0.8735,0.8641,-,0.8329,0.828,0.79
7/8-16 UN,3A,0,0.875,0.8656,-,0.8344,0.8308,0.8005
7/8-18 UNS,2A,0.0014,0.8736,0.8649,-,0.8375,0.8329,0.8075
7/8-20 UNEF,2A,0.0013,0.8737,0.8656,-,0.8412,0.8368,0.8142
7/8-20 UNEF,3A,0,0.875,0.8669,-,0.8425,0.8392,0.8155
7/8-24 UNS,2A,0.0012,0.8738,0.8666,-,0.8467,0.8426,0.8242
7/8-27 UNS,2A,0.0012,0.8738,0.8671,-,0.8497,0.8458,0.8297
7/8-28 UN,2A,0.0012,0.8738,0.8673,-,0.8506,0.8468,0.8312
7/8-28 UN,3A,0,0.875,0.8685,-,0.8518,0.8489,0.8324
7/8-32 UN,2A,0.0011,0.8739,0.8679,-,0.8536,0.85,0.8367
7/8-32 UN,3A,0,0.875,0.869,-,0.8547,0.852,0.8378
15/16-12 UN,2A,0.0017,0.9358,0.9244,-,0.8817,0.876,0.8366
15/16-12 UN,3A,0,0.9375,0.9261,-,0.8834,0.8793,0.8383
15/16-16 UN,2A,0.0015,0.936,0.9266,-,0.8954,0.8904,0.8615
15/16-16 UN,3A,0,0.9375,0.9281,-,0.8969,0.8932,0.863
15/16-20 UNEF,2A,0.0014,0.9361,0.928,-,0.9036,0.8991,0.8766
15/16-20 UNEF,3A,0,0.9375,0.9294,-,0.905,0.9016,0.878
15/16-28 UN,2A,0.0012,0.9363,0.9298,-,0.9131,0.9091,0.8937
15/16-28 UN,3A,0,0.9375,0.931,-,0.9143,0.9113,0.8949
15/16-32 UN,2A,0.0011,0.9364,0.9304,-,0.9161,0.9123,0.8992
15/16-32 UN,3A,0,0.9375,0.9315,-,0.9172,0.9144,0.9003
1-8 UNC,1A,0.002,0.998,0.9755,-,0.9168,0.9067,0.8492
1-8 UNC,2A,0.002,0.998,0.983,0.9755,0.9168,0.91,0.8492
1-8 UNC,3A,0,1,0.985,-,0.9188,0.9137,0.8512
1-10 UNS,2A,0.0018,0.9982,0.9853,-,0.9332,0.927,0.8792
1-12 UNF,1A,0.0018,0.9982,0.981,-,0.9441,0.9353,0.899
1-12 UNF,2A,0.0018,0.9982,0.9868,-,0.9441,0.9382,0.899
1-12 UNF,3A,0,1,0.9886,-,0.9459,0.9415,0.9008
1-14 UNS,1A,0.0017,0.9983,0.9828,-,0.9519,0.9435,0.9132
1-14 UNS,2A,0.0017,0.9983,0.988,-,0.9519,0.9463,0.9132
1-14 UNS,3A,0,1,0.9897,-,0.9536,0.9494,0.9149
1-16 UN,2A,0.0015,0.9985,0.9891,-,0.9579,0.9529,0.924
1-16 UN,3A,0,1,0.9906,-,0.9594,0.9557,0.9255
1-18 UNS,2A,0.0014,0.9986,0.9899,-,0.9625,0.9578,0.9325
1-20 UNEF,2A,0.0014,0.9986,0.9905,-,0.9661,0.9616,0.9391
1-20 UNEF,3A,0,1,0.9919,-,0.9675,0.9641,0.9405
1-24 UNS,2A,0.0013,0.9987,0.9915,-,0.9716,0.9674,0.9491
1-27 UNS,2A,0.0012,0.9988,0.9921,-,0.9747,0.9707,0.9547
1-28 UN,2A,0.0012,0.9988,0.9923,-,0.9756,0.9716,0.9562
1-28 UN,3A,0,1,0.9935,-,0.9768,0.9738,0.9574
1-32 UN,2A,0.0011,0.9989,0.9929,-,0.9786,0.9748,0.9617
1-32 UN,3A,0,1,0.994,-,0.9797,0.9769,0.9628
1 1/16-8 UN,2A,0.002,1.0605,1.0455,-,0.9793,0.9725,0.9117
1 1/16-8 UN,3A,0,1.0625,1.0475,-,0.9813,0.9762,0.9137
1 1/16-12 UN,2A,0.0017,1.0608,1.0494,-,1.0067,1.001,0.9616
1 1/16-12 UN,3A,0,1.0625,1.0511,-,1.0084,1.0042,0.9633
1 1/16-16 UN,2A,0.0015,1.061,1.0516,-,1.0204,1.0154,0.9865
1 1/16-16 UN,3A,0,1.0625,1.0531,-,1.0219,1.0182,0.988
1 1/16-18 UNEF,2A,0.0014,1.0611,1.0524,-,1.025,1.0203,0.995
1 1/16-18 UNEF,3A,0,1.0625,1.0538,-,1.0264,1.0228,0.9964
1 1/16-20 UN,2A,0.0014,1.0611,1.053,-,1.0286,1.0241,1.0016
1 1/16-20 UN,3A,0,1.0625,1.0544,-,1.03,1.0266,1.003
1 1/16-28 UN,2A,0.0012,1.0613,1.0548,-,1.0381,1.0341,1.0187
1 1/16-28 UN,3A,0,1.0625,1.056,-,1.0393,1.0363,1.0199
1 1/8-7 UNC,1A,0.0022,1.1228,1.0982,-,1.03,1.0191,0.9527
1 1/8-7 UNC,2A,0.0022,1.1228,1.1064,1.0982,1.03,1.0228,0.9527
1 1/8-7 UNC,3A,0,1.125,1.1086,-,1.0322,1.0268,0.9549
1 1/8-8 UN,2A,0.0021,1.1229,1.1079,1.1004,1.0417,1.0348,0.9741
1 1/8-8 UN,3A,0,1.125,1.11,-,1.0438,1.0386,0.9762
1 1/8-10 UNS,2A,0.0018,1.1232,1.1103,-,1.0582,1.052,1.0042
1 1/8-12 UNF,1A,0.0018,1.1232,1.106,-,1.0691,1.0601,1.024
1 1/8-12 UNF,2A,0.0018,1.1232,1.1118,-,1.0691,1.0631,1.024
1 1/8-12 UNF,3A,0,1.125,1.1136,-,1.0709,1.0664,1.0258
1 1/8-14 UNS,2A,0.0016,1.1234,1.1131,-,1.077,1.0717,1.0384
1 1/8-16 UN,2A,0.0015,1.1235,1.1141,-,1.0829,1.0779,1.049
1 1/8-16 UN,3A,0,1.125,1.1156,-,1.0844,1.0807,1.0505
1 1/8-18 UNEF,2A,0.0014,1.1236,1.1149,-,1.0875,1.0828,1.0575
